sample_id,form_type,nct_id,page,condition,source_image,source_sha256,degraded_image,degraded_sha256,source_classification,output_classification,param_rotation_degrees,param_gaussian_blur_kernel,param_gaussian_noise_sigma,param_contrast_factor,param_shadow_strength,param_shadow_angle_degrees,param_jpeg_quality,param_seed
FDA_1572_NCT04470427,FDA_1572,NCT04470427,1,clean,data/processed/populated_forms/images/FDA_1572_NCT04470427/page-1.png,04ae570d5893c51f1913943041c830eb5d4814bf1f42d3fbc97f10a7946ce81e,data/processed/degraded_forms/images/FDA_1572_NCT04470427/clean/page-1.png,97f5b414a6d3366a45c349eeeaa2e88d8c1f5dea4f52ac073dd40495dd86f905,template_real_content_controlled,augmented_scan,0.0,0,0.0,1.0,0.0,25.0,100,3786280251
FDA_1572_NCT04470427,FDA_1572,NCT04470427,1,combined_moderate,data/processed/populated_forms/images/FDA_1572_NCT04470427/page-1.png,04ae570d5893c51f1913943041c830eb5d4814bf1f42d3fbc97f10a7946ce81e,data/processed/degraded_forms/images/FDA_1572_NCT04470427/combined_moderate/page-1.png,6cda65c8d2db280dc060584a2e91519fb79e6c455c5a46e389c30acfdb0e29d8,template_real_content_controlled,augmented_scan,-1.7,3,8.0,0.72,0.24,-18.0,55,2992393589
FDA_1572_NCT04470427,FDA_1572,NCT04470427,1,directional_shadow,data/processed/populated_forms/images/FDA_1572_NCT04470427/page-1.png,04ae570d5893c51f1913943041c830eb5d4814bf1f42d3fbc97f10a7946ce81e,data/processed/degraded_forms/images/FDA_1572_NCT04470427/directional_shadow/page-1.png,9a14da9e612d547c17c6df35c47e9110d56015234f1b0fff6c6b4c3d3aca6a72,template_real_content_controlled,augmented_scan,0.0,0,0.0,1.0,0.38,32.0,100,3324672899
FDA_1572_NCT04470427,FDA_1572,NCT04470427,1,gaussian_blur,data/processed/populated_forms/images/FDA_1572_NCT04470427/page-1.png,04ae570d5893c51f1913943041c830eb5d4814bf1f42d3fbc97f10a7946ce81e,data/processed/degraded_forms/images/FDA_1572_NCT04470427/gaussian_blur/page-1.png,b330ee28a969f3fe49bb969d8065137ab55a6eb52bc7c48a0d654bc92140b244,template_real_content_controlled,augmented_scan,0.0,5,0.0,1.0,0.0,25.0,100,2981960295
FDA_1572_NCT04470427,FDA_1572,NCT04470427,1,gaussian_noise,data/processed/populated_forms/images/FDA_1572_NCT04470427/page-1.png,04ae570d5893c51f1913943041c830eb5d4814bf1f42d3fbc97f10a7946ce81e,data/processed/degraded_forms/images/FDA_1572_NCT04470427/gaussian_noise/page-1.png,c0a159c862769397f6b8a6cebb38b22fef70a46cb597a06dfdec5b823693e7b7,template_real_content_controlled,augmented_scan,0.0,0,14.0,1.0,0.0,25.0,100,3764412559
FDA_1572_NCT04470427,FDA_1572,NCT04470427,1,jpeg_compression,data/processed/populated_forms/images/FDA_1572_NCT04470427/page-1.png,04ae570d5893c51f1913943041c830eb5d4814bf1f42d3fbc97f10a7946ce81e,data/processed/degraded_forms/images/FDA_1572_NCT04470427/jpeg_compression/page-1.png,c98de17819bb24fd7aa17944e777c5d14100787e0b4d04eca2ef2fd879cfe7e5,template_real_content_controlled,augmented_scan,0.0,0,0.0,1.0,0.0,25.0,38,2724690348
FDA_1572_NCT04470427,FDA_1572,NCT04470427,1,low_contrast,data/processed/populated_forms/images/FDA_1572_NCT04470427/page-1.png,04ae570d5893c51f1913943041c830eb5d4814bf1f42d3fbc97f10a7946ce81e,data/processed/degraded_forms/images/FDA_1572_NCT04470427/low_contrast/page-1.png,b9e133ad292bcfabf6fbb53aa4ade53e89ed3b3835c1c8434250cf1af9e00fdd,template_real_content_controlled,augmented_scan,0.0,0,0.0,0.58,0.0,25.0,100,3922173124
FDA_1572_NCT04470427,FDA_1572,NCT04470427,1,rotation_2deg,data/processed/populated_forms/images/FDA_1572_NCT04470427/page-1.png,04ae570d5893c51f1913943041c830eb5d4814bf1f42d3fbc97f10a7946ce81e,data/processed/degraded_forms/images/FDA_1572_NCT04470427/rotation_2deg/page-1.png,6f38ebcdc78dca234ffdcdef3acb494acd96539c451d656a08af38b65f9738c0,template_real_content_controlled,augmented_scan,2.0,0,0.0,1.0,0.0,25.0,100,145506458
FDA_1572_NCT04470427,FDA_1572,NCT04470427,2,clean,data/processed/populated_forms/images/FDA_1572_NCT04470427/page-2.png,ead52e3bbfb019c9f9f316b44cc3c9f6b3290068c37eaf11fb88f7e6429e16a5,data/processed/degraded_forms/images/FDA_1572_NCT04470427/clean/page-2.png,1d5ff0daa0eab54829446b918ddcc948b67725471d64faa66a4411112ccb05ac,template_real_content_controlled,augmented_scan,0.0,0,0.0,1.0,0.0,25.0,100,2885775481
FDA_1572_NCT04470427,FDA_1572,NCT04470427,2,combined_moderate,data/processed/populated_forms/images/FDA_1572_NCT04470427/page-2.png,ead52e3bbfb019c9f9f316b44cc3c9f6b3290068c37eaf11fb88f7e6429e16a5,data/processed/degraded_forms/images/FDA_1572_NCT04470427/combined_moderate/page-2.png,e9dcf8dec0b90cdaaaaa1b4d9d6810d32296b73ba563c1d81f2f47335f5ab9e6,template_real_content_controlled,augmented_scan,-1.7,3,8.0,0.72,0.24,-18.0,55,3305815241
