sample_id,class_label,source_group,split,source_type,source_path,source_page,image_path,image_sha256,image_dpi,actual_content,privacy
NCT04796896_clinical_protocol_p001,CLINICAL_PROTOCOL,NCT04796896,test,actual_public_clinical_protocol_page,data/raw/clinicaltrials/NCT04796896_Prot_001.pdf,1,data/processed/document_understanding/base_images/NCT04796896_clinical_protocol_p001.png,14c6a97725c2a4b96b45209149e9db5ee0ebfec99d69eead78c4b80dbe15f080,150,True,public protocol document
NCT04796896_clinical_protocol_p002,CLINICAL_PROTOCOL,NCT04796896,test,actual_public_clinical_protocol_page,data/raw/clinicaltrials/NCT04796896_Prot_001.pdf,2,data/processed/document_understanding/base_images/NCT04796896_clinical_protocol_p002.png,151408289870f3d28db28414e757ae6cc588a83a3cf7ed7d33fc0fa8eb8b388a,150,True,public protocol document
NCT04796896_clinical_protocol_p025,CLINICAL_PROTOCOL,NCT04796896,test,actual_public_clinical_protocol_page,data/raw/clinicaltrials/NCT04796896_Prot_001.pdf,25,data/processed/document_understanding/base_images/NCT04796896_clinical_protocol_p025.png,e25a43d08051b81b6babc27001f841c2ff935d7966cc15eed5657aec3b7bfa3b,150,True,public protocol document
NCT04796896_clinical_protocol_p045,CLINICAL_PROTOCOL,NCT04796896,test,actual_public_clinical_protocol_page,data/raw/clinicaltrials/NCT04796896_Prot_001.pdf,45,data/processed/document_understanding/base_images/NCT04796896_clinical_protocol_p045.png,24cc42cdcd23b00dcf64aebd5a463c4a5451818f436d3362d7775b4ff41ac3e5,150,True,public protocol document
NCT04796896_clinical_table_p005,CLINICAL_TABLE,NCT04796896,test,actual_public_clinical_protocol_page,data/raw/clinicaltrials/NCT04796896_Prot_001.pdf,5,data/processed/document_understanding/base_images/NCT04796896_clinical_table_p005.png,4044adbc7eae48c7893573af1bbaebdc328618bacde6207de2e5f779d7af3ad9,150,True,public protocol document
NCT04796896_clinical_table_p014,CLINICAL_TABLE,NCT04796896,test,actual_public_clinical_protocol_page,data/raw/clinicaltrials/NCT04796896_Prot_001.pdf,14,data/processed/document_understanding/base_images/NCT04796896_clinical_table_p014.png,424fea93759c80ceb09c2e5a7d98cff3505fbfde340f5bf1c2dfe644ff9238bc,150,True,public protocol document
NCT04796896_clinical_table_p068,CLINICAL_TABLE,NCT04796896,test,actual_public_clinical_protocol_page,data/raw/clinicaltrials/NCT04796896_Prot_001.pdf,68,data/processed/document_understanding/base_images/NCT04796896_clinical_table_p068.png,99f4452b9c10f02213338c2dc386669f77bb57ce0526d2f7492993386843f50d,150,True,public protocol document
NCT04796896_clinical_table_p069,CLINICAL_TABLE,NCT04796896,test,actual_public_clinical_protocol_page,data/raw/clinicaltrials/NCT04796896_Prot_001.pdf,69,data/processed/document_understanding/base_images/NCT04796896_clinical_table_p069.png,a7c19c8abeee086257caf287b1ee5d3041480a5b202f6d5f297924ac42e09ec1,150,True,public protocol document
FDA_1572_NCT04796896_p001,FDA_1572,NCT04796896,test,official_fda_form_with_public_protocol_metadata,data/processed/populated_forms/flattened/FDA_1572_NCT04796896.pdf,1,data/processed/document_understanding/base_images/FDA_1572_NCT04796896_p001.png,b5102d06a806457dba28956dd9177fe24eb2bf62eafe811bef9dd5f8b94085e9,300,True,controlled identities; public protocol metadata
FDA_1572_NCT04796896_p002,FDA_1572,NCT04796896,test,official_fda_form_with_public_protocol_metadata,data/processed/populated_forms/flattened/FDA_1572_NCT04796896.pdf,2,data/processed/document_understanding/base_images/FDA_1572_NCT04796896_p002.png,1ee122f045cb22c7d009f51c3560d9ddb24170db470256436b0e22d245480bdb,300,True,controlled identities; public protocol metadata
FDA_3454_NCT04796896_p001,FDA_3454,NCT04796896,test,official_fda_form_with_public_protocol_metadata,data/processed/populated_forms/flattened/FDA_3454_NCT04796896.pdf,1,data/processed/document_understanding/base_images/FDA_3454_NCT04796896_p001.png,277deaadce1d6b731927f34cea6a6e23ed6b400756b5bb4feb4f455e3f3cc7cf,300,True,controlled identities; public protocol metadata
FDA_3455_NCT04796896_p001,FDA_3455,NCT04796896,test,official_fda_form_with_public_protocol_metadata,data/processed/populated_forms/flattened/FDA_3455_NCT04796896.pdf,1,data/processed/document_understanding/base_images/FDA_3455_NCT04796896_p001.png,6b56fbeb23ed06064a94c31d44dafc8bf234295cf6e2d705658d8cef24db1fe0,300,True,controlled identities; public protocol metadata
NCT04470427_clinical_protocol_p001,CLINICAL_PROTOCOL,NCT04470427,train,actual_public_clinical_protocol_page,data/raw/clinicaltrials/NCT04470427_Prot_000.pdf,1,data/processed/document_understanding/base_images/NCT04470427_clinical_protocol_p001.png,297553a0c066424339a1bc4124a7dc300f059542e8a2ebfdb984f0e39beabbdc,150,True,public protocol document
NCT04470427_clinical_protocol_p002,CLINICAL_PROTOCOL,NCT04470427,train,actual_public_clinical_protocol_page,data/raw/clinicaltrials/NCT04470427_Prot_000.pdf,2,data/processed/document_understanding/base_images/NCT04470427_clinical_protocol_p002.png,33f68f711c14ce63106c2bbe8000c3fc7442d186dea49b511e0c946395684738,150,True,public protocol document
NCT04470427_clinical_protocol_p025,CLINICAL_PROTOCOL,NCT04470427,train,actual_public_clinical_protocol_page,data/raw/clinicaltrials/NCT04470427_Prot_000.pdf,25,data/processed/document_understanding/base_images/NCT04470427_clinical_protocol_p025.png,647b41690e230efd94a33280e6da42200abd6c450c60deebb2fc073232516dd9,150,True,public protocol document
NCT04470427_clinical_protocol_p045,CLINICAL_PROTOCOL,NCT04470427,train,actual_public_clinical_protocol_page,data/raw/clinicaltrials/NCT04470427_Prot_000.pdf,45,data/processed/document_understanding/base_images/NCT04470427_clinical_protocol_p045.png,a362bb15e3d0b1c2722395b7e425da76354dba745cca45d2275022974c0c99a1,150,True,public protocol document
NCT04470427_clinical_table_p005,CLINICAL_TABLE,NCT04470427,train,actual_public_clinical_protocol_page,data/raw/clinicaltrials/NCT04470427_Prot_000.pdf,5,data/processed/document_understanding/base_images/NCT04470427_clinical_table_p005.png,5bf5c720319d27ddab3e80bc8a4a2002ee5170e6fd7daaee86694ab4cc5bf0fe,150,True,public protocol document
