method,path,summary
GET,/health,Health
GET,/model-info,Model Info
POST,/v1/documents/process,Process Document
POST,/v1/jobs/process,Enqueue Document
POST,/v1/batches/process,Enqueue Batch
GET,/v1/jobs/{job_id},Get Job
GET,/v1/jobs/{job_id}/events,Get Job Events
POST,/v1/jobs/{job_id}/retry,Retry Job
GET,/v1/batches/{batch_id},Get Batch
GET,/v1/documents/{document_id},Get Document
POST,/v1/documents/{document_id}/redactions/apply,Apply Redactions
GET,/v1/documents/{document_id}/artifacts/{artifact_name},Download Artifact
