pipeline,condition,page_instances,accuracy,macro_f1,needs_review_rate
hybrid,clean,12,1.0,1.0,0.0
hybrid,combined_moderate,12,1.0,1.0,0.0
hybrid,directional_shadow,12,1.0,1.0,0.0
hybrid,gaussian_blur,12,1.0,1.0,0.0
hybrid,gaussian_noise,12,1.0,1.0,0.0
hybrid,jpeg_compression,12,1.0,1.0,0.0
hybrid,low_contrast,12,1.0,1.0,0.0
hybrid,rotation_1_5deg,12,1.0,1.0,0.0
image_only,clean,12,0.8333333333333334,0.8933333333333333,0.0
image_only,combined_moderate,12,0.8333333333333334,0.8933333333333333,0.0
image_only,directional_shadow,12,0.8333333333333334,0.8933333333333333,0.0
image_only,gaussian_blur,12,0.8333333333333334,0.8933333333333333,0.0
image_only,gaussian_noise,12,0.8333333333333334,0.8933333333333333,0.0
image_only,jpeg_compression,12,0.8333333333333334,0.8933333333333333,0.0
image_only,low_contrast,12,0.8333333333333334,0.8933333333333333,0.0
image_only,rotation_1_5deg,12,0.8333333333333334,0.8933333333333333,0.0
rule_only,clean,12,1.0,1.0,0.0
rule_only,combined_moderate,12,1.0,1.0,0.0
rule_only,directional_shadow,12,1.0,1.0,0.0
rule_only,gaussian_blur,12,1.0,1.0,0.0
rule_only,gaussian_noise,12,1.0,1.0,0.0
rule_only,jpeg_compression,12,1.0,1.0,0.0
rule_only,low_contrast,12,1.0,1.0,0.0
rule_only,rotation_1_5deg,12,1.0,1.0,0.0
