document_type,condition,field_instances,exact_match_accuracy,mean_character_error_rate,routing_accuracy
CLINICAL_PROTOCOL,clean,8,1.0,0.0,1.0
CLINICAL_PROTOCOL,combined_moderate,8,1.0,0.0,1.0
CLINICAL_PROTOCOL,directional_shadow,8,1.0,0.0,1.0
CLINICAL_PROTOCOL,gaussian_blur,8,1.0,0.0,1.0
CLINICAL_PROTOCOL,gaussian_noise,8,1.0,0.0,1.0
CLINICAL_PROTOCOL,jpeg_compression,8,1.0,0.0,1.0
CLINICAL_PROTOCOL,low_contrast,8,1.0,0.0,1.0
CLINICAL_PROTOCOL,rotation_1_5deg,8,1.0,0.0,1.0
FDA_1572,clean,9,1.0,0.0,1.0
FDA_1572,combined_moderate,9,0.7777777777777778,0.38390313390313385,1.0
FDA_1572,directional_shadow,9,1.0,0.0,1.0
FDA_1572,gaussian_blur,9,1.0,0.0,1.0
FDA_1572,gaussian_noise,9,1.0,0.0,1.0
FDA_1572,jpeg_compression,9,1.0,0.0,1.0
FDA_1572,low_contrast,9,1.0,0.0,1.0
FDA_1572,rotation_1_5deg,9,1.0,0.0,1.0
FDA_3454,clean,6,1.0,0.0,1.0
FDA_3454,combined_moderate,6,1.0,0.0,1.0
FDA_3454,directional_shadow,6,1.0,0.0,1.0
FDA_3454,gaussian_blur,6,1.0,0.0,1.0
FDA_3454,gaussian_noise,6,1.0,0.0,1.0
FDA_3454,jpeg_compression,6,1.0,0.0,1.0
FDA_3454,low_contrast,6,1.0,0.0,1.0
FDA_3454,rotation_1_5deg,6,1.0,0.0,1.0
FDA_3455,clean,5,1.0,0.0,1.0
FDA_3455,combined_moderate,5,0.8,2.3666666666666667,1.0
FDA_3455,directional_shadow,5,0.8,0.2,1.0
FDA_3455,gaussian_blur,5,1.0,0.0,1.0
FDA_3455,gaussian_noise,5,1.0,0.0,1.0
FDA_3455,jpeg_compression,5,1.0,0.0,1.0
FDA_3455,low_contrast,5,1.0,0.0,1.0
FDA_3455,rotation_1_5deg,5,1.0,0.0,1.0
